task,total_samples,conflict_samples,conflict_rate,useful_conflict_rate,candidate_set_recall,always_source_acc,always_clip_acc,higher_conf_acc,prototype_only_acc,neighborhood_only_acc,triangulated_acc,triangulated_minus_clip,triangulated_reject_acc,triangulated_reject_coverage,triangulated_reject_harmful_in_rejected
AC,4365,2558,58.6025,57.3495,57.3495,16.2627,41.0868,39.484,35.4183,32.5254,39.0149,-2.0719,39.0149,100.0,0.0
AP,4439,1540,34.6925,79.1558,79.1558,15.0,64.1558,60.4545,52.4026,50.2597,57.4675,-6.6883,57.4675,100.0,0.0
AR,4357,1199,27.5189,81.0676,81.0676,20.9341,60.1334,61.3845,46.7056,45.2877,55.0459,-5.0875,55.0459,100.0,0.0
CA,2427,1217,50.1442,71.5694,71.5694,14.7905,56.779,53.9852,43.3032,38.9482,49.3016,-7.4774,49.3016,100.0,0.0
CP,4439,1762,39.6936,81.0443,81.0443,12.1453,68.899,64.4722,52.3837,50.7946,60.7832,-8.1158,60.7832,100.0,0.0
CR,4357,1608,36.9061,82.4005,82.4005,13.6194,68.7811,66.0448,48.3831,46.0821,58.5199,-10.2612,58.5199,100.0,0.0
PA,2427,1223,50.3914,70.5642,70.5642,12.592,57.9722,52.085,41.2919,38.9207,49.7138,-8.2584,49.7138,100.0,0.0
PC,4365,2786,63.8259,57.8607,57.8607,14.3216,43.5391,43.1084,32.5556,28.9304,39.5908,-3.9483,39.5908,100.0,0.0
PR,4357,1289,29.5846,81.6912,81.6912,18.7742,62.917,65.322,48.7975,45.6943,57.9519,-4.9651,57.9519,100.0,0.0
RA,2427,961,39.5962,69.8231,69.8231,21.9563,47.8668,48.9074,37.8772,39.6462,48.3871,0.5203,48.3871,100.0,0.0
RC,4365,2439,55.8763,54.8995,54.8995,15.3752,39.5244,38.3354,29.7253,28.7003,36.0394,-3.485,36.0394,100.0,0.0
RP,4439,1065,23.9919,78.216,78.216,25.9155,52.3005,54.8357,47.1362,48.5446,53.7089,1.4084,53.7089,100.0,0.0
