class_index,class,selected_samples,baseline_mean_feature_first_order,candidate_mean_feature_first_order,candidate_minus_baseline_mean_feature_first_order,oracle_usage
0,aeroplane,4,0.0028982534281014297,0.0020819952682943014,-0.000816258159807128,diagnostic_only_after_pair_neutralization_signal_lock
1,bicycle,28,0.00295012213988577,0.002442306095342204,-0.0005078160445435662,diagnostic_only_after_pair_neutralization_signal_lock
2,bus,16,0.005147145248959543,0.0041080848913558395,-0.0010390603576037028,diagnostic_only_after_pair_neutralization_signal_lock
3,car,251,0.0012401345096802695,0.001354487058485748,0.00011435254880547885,diagnostic_only_after_pair_neutralization_signal_lock
4,horse,8,0.0018005823866590574,0.0014135569822172672,-0.00038702540444179027,diagnostic_only_after_pair_neutralization_signal_lock
5,knife,4,0.004335672676225792,0.003860759711153324,-0.0004749129650724681,diagnostic_only_after_pair_neutralization_signal_lock
6,motorcycle,37,0.0011639753843926876,0.0012739759058791637,0.00011000052148647644,diagnostic_only_after_pair_neutralization_signal_lock
7,person,48,0.00569565423086451,0.0036911773481482,-0.0020044768827163096,diagnostic_only_after_pair_neutralization_signal_lock
8,plant,130,0.0008833490256588339,0.001105627057732783,0.0002222780320739494,diagnostic_only_after_pair_neutralization_signal_lock
9,skateboard,15,0.002563937688266282,0.00221214249296209,-0.00035179519530419194,diagnostic_only_after_pair_neutralization_signal_lock
10,train,14,0.0020587113174295618,0.001723561211925044,-0.00033515010550451776,diagnostic_only_after_pair_neutralization_signal_lock
11,truck,58,0.004866311072517478,0.003717840090301791,-0.001148470982215687,diagnostic_only_after_pair_neutralization_signal_lock
