variant,class,accuracy,delta_vs_duet,delta_vs_matched_stable,delta_vs_matched_monotonic
both_prior_dual_tier,aeroplane,98.49,0.05,0.0,-0.03
both_prior_dual_tier,bicycle,87.91,0.31,0.08,-0.38
both_prior_dual_tier,bus,89.17,0.17,0.09,-0.23
both_prior_dual_tier,car,76.74,-4.87,-0.44,0.31
both_prior_dual_tier,horse,97.34,-0.44,0.03,-0.04
both_prior_dual_tier,knife,97.93,1.01,0.0,0.05
both_prior_dual_tier,motorcycle,94.89,-0.37,-0.02,0.1
both_prior_dual_tier,person,82.6,-2.4,-0.02,0.35
both_prior_dual_tier,plant,95.23,1.34,-0.11,-0.07
both_prior_dual_tier,skateboard,96.8,1.05,0.22,-0.04
both_prior_dual_tier,train,94.15,0.97,0.05,-0.26
both_prior_dual_tier,truck,69.03,-0.45,0.64,-0.36
none_dual_tier,aeroplane,98.55,0.11,0.0,0.03
none_dual_tier,bicycle,85.99,-1.61,0.32,-0.23
none_dual_tier,bus,88.96,-0.04,0.26,-0.14
none_dual_tier,car,81.62,0.01,-0.36,0.19
none_dual_tier,horse,97.31,-0.47,-0.05,-0.07
none_dual_tier,knife,97.45,0.53,0.2,-0.09
none_dual_tier,motorcycle,95.55,0.29,0.05,-0.02
none_dual_tier,person,84.18,-0.82,-0.04,0.2
none_dual_tier,plant,95.23,1.34,-0.09,-0.02
none_dual_tier,skateboard,96.27,0.52,0.13,-0.18
none_dual_tier,train,94.12,0.94,0.02,-0.17
none_dual_tier,truck,65.93,-3.55,0.88,-0.44
