variant,calib_mode,pl_memory,class,accuracy,delta_vs_duet,delta_vs_current_stage14
both_prior_stable,both_prior,stable,aeroplane,98.49,0.05,0.0
both_prior_stable,both_prior,stable,bicycle,87.83,0.23,0.0
both_prior_stable,both_prior,stable,bus,89.08,0.08,0.0
both_prior_stable,both_prior,stable,car,77.18,-4.43,0.0
both_prior_stable,both_prior,stable,horse,97.31,-0.47,0.0
both_prior_stable,both_prior,stable,knife,97.93,1.01,0.0
both_prior_stable,both_prior,stable,motorcycle,94.91,-0.35,0.0
both_prior_stable,both_prior,stable,person,82.62,-2.38,0.0
both_prior_stable,both_prior,stable,plant,95.34,1.45,0.0
both_prior_stable,both_prior,stable,skateboard,96.58,0.83,0.0
both_prior_stable,both_prior,stable,train,94.1,0.92,0.0
both_prior_stable,both_prior,stable,truck,68.39,-1.09,0.0
none_stable,none,stable,aeroplane,98.55,0.11,0.06
none_stable,none,stable,bicycle,85.67,-1.93,-2.16
none_stable,none,stable,bus,88.7,-0.3,-0.38
none_stable,none,stable,car,81.98,0.37,4.8
none_stable,none,stable,horse,97.36,-0.42,0.05
none_stable,none,stable,knife,97.25,0.33,-0.68
none_stable,none,stable,motorcycle,95.5,0.24,0.59
none_stable,none,stable,person,84.22,-0.78,1.6
none_stable,none,stable,plant,95.32,1.43,-0.02
none_stable,none,stable,skateboard,96.14,0.39,-0.44
none_stable,none,stable,train,94.1,0.92,0.0
none_stable,none,stable,truck,65.05,-4.43,-3.34
both_prior_monotonic,both_prior,monotonic,aeroplane,98.52,0.08,0.03
both_prior_monotonic,both_prior,monotonic,bicycle,88.29,0.69,0.46
both_prior_monotonic,both_prior,monotonic,bus,89.4,0.4,0.32
both_prior_monotonic,both_prior,monotonic,car,76.43,-5.18,-0.75
both_prior_monotonic,both_prior,monotonic,horse,97.38,-0.4,0.07
both_prior_monotonic,both_prior,monotonic,knife,97.88,0.96,-0.05
both_prior_monotonic,both_prior,monotonic,motorcycle,94.79,-0.47,-0.12
both_prior_monotonic,both_prior,monotonic,person,82.25,-2.75,-0.37
both_prior_monotonic,both_prior,monotonic,plant,95.3,1.41,-0.04
both_prior_monotonic,both_prior,monotonic,skateboard,96.84,1.09,0.26
both_prior_monotonic,both_prior,monotonic,train,94.41,1.23,0.31
both_prior_monotonic,both_prior,monotonic,truck,69.39,-0.09,1.0
none_monotonic,none,monotonic,aeroplane,98.52,0.08,0.03
none_monotonic,none,monotonic,bicycle,86.22,-1.38,-1.61
none_monotonic,none,monotonic,bus,89.1,0.1,0.02
none_monotonic,none,monotonic,car,81.43,-0.18,4.25
none_monotonic,none,monotonic,horse,97.38,-0.4,0.07
none_monotonic,none,monotonic,knife,97.54,0.62,-0.39
none_monotonic,none,monotonic,motorcycle,95.57,0.31,0.66
none_monotonic,none,monotonic,person,83.98,-1.02,1.36
none_monotonic,none,monotonic,plant,95.25,1.36,-0.09
none_monotonic,none,monotonic,skateboard,96.45,0.7,-0.13
none_monotonic,none,monotonic,train,94.29,1.11,0.19
none_monotonic,none,monotonic,truck,66.37,-3.11,-2.02
