view,class_index,class,samples,initial_conflicts,stable_selected,stable_conflict_coverage,final_source_accuracy,final_clip_accuracy,final_teacher_accuracy,stable_source_accuracy,stable_clip_accuracy,stable_teacher_accuracy,teacher_minus_clip_pp,corrections_over_clip,degradations_from_clip,net_correct_gain,discordant_win_rate,supports_class_route
true_class,0,aeroplane,3646,1394,1376,98.7088,98.2995,98.4915,98.8755,96.5843,97.8198,98.4012,0.5814,9,1,8,90.0,False
true_class,1,bicycle,3475,2182,2093,95.9212,91.9424,92.4604,93.2662,91.9732,93.0721,94.0755,1.0034,32,11,21,74.4186,True
true_class,2,bus,4690,2190,2050,93.6073,88.1876,89.8507,90.4051,82.3902,85.6585,86.3415,0.683,29,15,14,65.9091,False
true_class,3,car,10401,4660,4182,89.7425,76.9061,73.8487,79.0982,62.4821,57.2932,66.2841,8.9909,390,14,376,96.5347,True
true_class,4,horse,4691,1512,1467,97.0238,97.5059,97.6764,98.0388,94.6149,94.9557,95.7737,0.818,15,3,12,83.3333,False
true_class,5,knife,2075,1938,1920,99.0712,98.3614,98.3133,98.8434,99.0104,99.0625,99.4271,0.3646,7,0,7,100.0,False
true_class,6,motorcycle,5796,1238,1105,89.2569,93.323,92.3395,93.2022,82.1719,80.4525,81.7195,1.267,24,10,14,70.5882,True
true_class,7,person,4000,3477,3370,96.9226,83.75,82.7,83.375,85.6677,85.5193,85.7864,0.2671,38,29,9,56.7164,False
true_class,8,plant,4549,2121,2041,96.2282,94.5922,95.1858,95.8013,91.4258,92.6017,93.6306,1.0289,31,10,21,75.6098,True
true_class,9,skateboard,2281,1358,1337,98.4536,97.6326,97.3696,98.071,97.3822,97.3822,98.2797,0.8975,16,4,12,80.0,False
true_class,10,train,4236,1047,995,95.0334,93.5316,95.0425,95.3022,83.6181,88.5427,89.4472,0.9045,14,5,9,73.6842,False
true_class,11,truck,5548,4348,4016,92.3643,71.7916,73.7924,71.9719,76.8426,79.5319,77.7888,-1.7431,53,123,-70,30.1136,False
predicted_teacher_class,0,aeroplane,3646,1392,1378,98.9943,98.1349,98.4641,98.8755,96.5167,97.7504,98.2583,0.5079,9,2,7,81.8182,False
predicted_teacher_class,1,bicycle,3679,2332,2211,94.8113,88.312,87.5238,88.0946,88.2406,88.1954,89.0547,0.8593,32,13,19,71.1111,False
predicted_teacher_class,2,bus,4667,2164,2033,93.9464,89.8007,90.0793,90.8507,84.7516,86.1289,87.0635,0.9346,29,10,19,74.359,False
predicted_teacher_class,3,car,9210,3508,3260,92.9304,85.9175,84.7883,89.3268,79.4172,76.0736,85.0307,8.9571,390,98,292,79.918,True
predicted_teacher_class,4,horse,4819,1592,1539,96.6709,95.1235,95.248,95.4347,90.6433,90.7732,91.293,0.5198,15,7,8,68.1818,False
predicted_teacher_class,5,knife,2453,2264,2193,96.864,85.0795,83.8973,83.6119,87.5057,87.4145,87.0497,-0.3648,7,15,-8,31.8182,False
predicted_teacher_class,6,motorcycle,5870,1153,1053,91.327,91.414,91.1925,92.0273,83.4758,84.5204,85.755,1.2346,24,11,13,68.5714,True
predicted_teacher_class,7,person,4751,4237,3969,93.6748,70.6588,69.9432,70.1957,72.512,72.7387,72.8395,0.1008,38,34,4,52.7778,False
predicted_teacher_class,8,plant,4465,2040,1974,96.7647,96.0134,96.7973,97.6036,94.2756,95.4914,96.8085,1.3171,31,5,26,86.1111,True
predicted_teacher_class,9,skateboard,2714,1745,1650,94.5559,84.451,82.3139,82.4245,80.9091,79.3333,79.6364,0.3031,16,11,5,59.2593,False
predicted_teacher_class,10,train,4195,1014,971,95.7594,94.5888,95.9476,96.2336,85.8908,91.0402,91.6581,0.6179,14,8,6,63.6364,False
predicted_teacher_class,11,truck,4919,4024,3721,92.4702,79.1014,79.7723,81.175,81.4835,82.8272,83.9559,1.1287,53,11,42,82.8125,True
