section,cycle,metric,baseline_duet,runA_d4_full,runB_d2_dir06
trajectory,1,cycle_end_accuracy,85.76,86.25,86.22
trajectory,2,cycle_end_accuracy,88.84,88.93,88.94
trajectory,3,cycle_end_accuracy,89.78,89.82,89.87
trajectory,4,cycle_end_accuracy,90.33,90.33,90.38
trajectory,5,cycle_end_accuracy,90.65,90.64,90.68
trajectory,6,cycle_end_accuracy,91.13,91.08,91.12
trajectory,7,cycle_end_accuracy,91.31,91.30,91.31
trajectory,8,cycle_end_accuracy,91.50,91.46,91.45
final_class,8,aeroplane,98.71,98.79,98.77
final_class,8,bicycle,89.38,90.04,90.10
final_class,8,bus,88.98,89.40,89.08
final_class,8,car,80.61,78.65,79.09
final_class,8,horse,98.21,98.12,98.19
final_class,8,knife,97.78,97.93,97.93
final_class,8,motorcycle,95.93,95.89,95.79
final_class,8,person,85.12,84.78,84.85
final_class,8,plant,96.00,96.04,96.07
final_class,8,skateboard,97.37,97.19,97.11
final_class,8,train,95.21,95.30,95.28
final_class,8,truck,74.73,75.40,75.20
final_class,8,mean,91.50,91.46,91.45
