cycle,task_top1,clip_top1,n,task_acc,clip_acc
0,car,truck,509,30.5,69.2
0,motorcycle,bicycle,488,5.7,90.2
0,car,bus,177,18.1,72.3
0,train,bus,125,16.8,81.6
0,car,motorcycle,110,46.4,46.4
0,bus,train,72,2.8,95.8
0,motorcycle,horse,49,4.1,87.8
0,motorcycle,car,44,38.6,59.1
0,truck,car,44,11.4,86.4
0,car,train,30,3.3,90.0
0,car,skateboard,29,31.0,62.1
0,car,aeroplane,24,0.0,91.7
1,car,truck,711,48.8,49.6
1,bus,truck,258,18.2,78.3
1,motorcycle,bicycle,226,33.2,58.8
1,truck,car,222,27.5,69.8
1,skateboard,person,156,6.4,80.8
1,bicycle,motorcycle,152,48.7,50.7
1,truck,bus,139,46.0,48.9
1,person,skateboard,124,87.9,3.2
1,plant,person,124,93.5,2.4
1,car,person,113,89.4,0.9
1,bus,train,98,30.6,66.3
1,train,bus,78,48.7,50.0
2,car,truck,459,52.1,45.8
2,truck,car,346,32.7,65.0
2,motorcycle,bicycle,225,32.4,62.2
2,bus,truck,187,24.6,71.1
2,truck,bus,182,46.7,50.0
2,person,skateboard,119,83.2,8.4
2,plant,person,115,83.5,6.1
2,car,person,110,85.5,0.9
2,train,bus,80,40.0,55.0
2,bicycle,motorcycle,79,46.8,49.4
2,person,car,71,0.0,90.1
2,bus,train,70,42.9,55.7
3,car,truck,392,49.0,49.2
3,truck,car,311,40.8,57.9
3,motorcycle,bicycle,218,39.4,54.1
3,bus,truck,180,25.6,70.0
3,truck,bus,162,51.2,41.4
3,car,person,123,91.1,3.3
3,bus,train,98,38.8,59.2
3,bicycle,motorcycle,89,56.2,42.7
3,person,skateboard,89,83.1,12.4
3,skateboard,person,68,4.4,86.8
3,plant,person,63,82.5,6.3
3,person,plant,54,3.7,92.6
4,car,truck,435,51.7,45.3
4,truck,car,229,35.8,61.6
4,motorcycle,bicycle,198,40.9,53.0
4,bus,truck,165,32.7,59.4
4,truck,bus,152,48.7,46.1
4,person,skateboard,120,77.5,14.2
4,bicycle,motorcycle,93,59.1,38.7
4,person,car,85,1.2,87.1
4,car,person,76,84.2,3.9
4,bus,train,68,35.3,63.2
4,plant,person,57,93.0,1.8
4,person,plant,54,5.6,83.3
5,truck,car,347,36.6,61.7
5,car,truck,278,56.5,42.1
5,truck,bus,237,38.4,54.4
5,motorcycle,bicycle,196,38.3,54.6
5,person,car,89,1.1,93.3
5,person,skateboard,84,82.1,11.9
5,bus,truck,76,35.5,61.8
5,car,person,73,89.0,0.0
5,bicycle,motorcycle,60,58.3,35.0
5,plant,person,58,84.5,6.9
5,train,bus,54,46.3,53.7
5,motorcycle,car,51,25.5,68.6
6,truck,car,327,32.7,66.4
6,car,truck,299,59.5,39.1
6,bus,truck,153,48.4,46.4
6,motorcycle,bicycle,149,49.0,46.3
6,truck,bus,120,47.5,46.7
6,bicycle,motorcycle,104,58.7,38.5
6,person,car,87,1.1,89.7
6,person,skateboard,87,89.7,5.7
6,car,person,67,92.5,0.0
6,motorcycle,car,52,11.5,82.7
6,plant,person,52,84.6,5.8
6,bus,train,48,56.2,37.5
7,car,truck,348,58.3,39.1
7,truck,car,233,32.2,63.5
7,motorcycle,bicycle,155,52.9,44.5
7,truck,bus,124,40.3,50.8
7,bus,truck,104,39.4,54.8
7,person,skateboard,88,84.1,11.4
7,car,person,78,91.0,1.3
7,bicycle,motorcycle,60,65.0,35.0
7,bus,train,57,56.1,38.6
7,plant,person,54,85.2,3.7
7,person,car,49,4.1,89.8
7,train,bus,41,36.6,63.4
