class,duet_final_32_pass,dac15_duet17_all_fbc_32_pass,all_fbc_delta_vs_duet,dac15_duet16_fb_sourcec_31_pass,fb_sourcec_delta_vs_duet
airplane,98.71,98.82,0.11,98.79,0.08
bicycle,89.38,92.66,3.28,92.12,2.74
bus,88.98,89.96,0.98,89.89,0.91
car,80.61,78.92,-1.69,79.72,-0.89
horse,98.21,97.91,-0.30,97.87,-0.34
knife,97.78,98.22,0.44,98.41,0.63
motorcycle,95.93,94.19,-1.74,94.86,-1.07
person,85.12,85.50,0.38,86.10,0.98
plant,96.00,95.54,-0.46,94.70,-1.30
skateboard,97.37,97.02,-0.35,96.32,-1.05
train,95.21,95.02,-0.19,94.74,-0.47
truck,74.73,76.62,1.89,74.62,-0.11
macro,91.50,91.70,0.20,91.51,0.01
